train/episode,episode/tracking_reward,episode/total_reward,train/epsilon,train/grad_norm,episode/actions_up,episode/clipped_reward,train/buffer_size,train/learning_rate,_timestamp,episode/goal_reward,_runtime,episode/actions_neutral,train/loss,episode/actions_down,_step,episode/action_all,run_id,run_name,group
0,,,0.9998044266666667,0.2111680340914869,,,3084,0.0003,1787933107.1995966,,52.0206795,,0.04205700755119324,,3092.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
4,,,0.9997717466666667,1.0793774864565644,,,3592,0.0003,1787933120.6294878,,65.423262583,,0.18289248645305634,,3608.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
26,,,0.99850964,0.20381359663926987,,,23476,0.0003,1787933623.3200338,,568.11832736,,0.02952001243829727,,23536.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
39,,,0.9978043600000001,0.10681504465849047,,,30000,0.0003,1787933898.6741018,,843.469761039,,0.0065790219232439995,,34672.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
52,,,0.99709832,0.09102247052203721,,,30000,0.0003,1787934181.4457443,,1126.257033265,,0.0044541554525494576,,45820.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
60,,,0.99663396,0.0955016964104071,,,30000,0.0003,1787934366.569957,,1311.365265739,,0.004921693354845047,,53152.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
71,,,0.9961070266666666,0.10032108587837549,,,30000,0.0003,1787934575.8268826,,1520.622859392,,0.0035417494364082813,,61472.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
112,,,0.99386376,0.10649186137334372,,,30000,0.0003,1787935466.3779275,,2411.170830257,,0.0019124336540699005,,96892.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
159,,,0.9914806533333334,0.046634722926455825,,,30000,0.0003,1787936411.6100523,,3356.401027146,,0.0021960698068141937,,134520.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
160,,,0.9913094,0.03128896132669502,,,30000,0.0003,1787936479.3562555,,3424.158620702,,0.0018631278071552515,,137224.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
212,,,0.9885789733333333,0.16023068577030908,,,30000,0.0003,1787937557.666996,,4502.464791586,,0.003767051501199603,,180336.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
224,,,0.9879572933333334,0.11009068201641904,,,30000,0.0003,1787937803.4783504,,4748.280566605,,0.003894498571753502,,190152.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
244,,,0.9868421199999999,0.041419789635916346,,,30000,0.0003,1787938245.3851278,,5190.176855967,,0.002981607336550951,,207760.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
259,,,0.9861249333333333,0.06248617561233261,,,30000,0.0003,1787938529.4989998,,5474.298559647,,0.0028622145764529705,,219084.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
265,,,0.9857915466666666,0.04757653261985599,,,30000,0.0003,1787938661.826361,,5606.606247487,,0.0021379045210778713,,224348.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
285,,,0.9846604133333334,0.07558046381159664,,,30000,0.0003,1787939110.6224833,,6055.422704145,,0.003942892421036959,,242208.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
292,,,0.9843642666666668,0.03827307583804909,,,30000,0.0003,1787939229.0571105,,6173.855954061,,0.0021306558046489954,,246884.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
292,,,0.98427712,0.0625417897956084,,,30000,0.0003,1787939263.6629987,,6208.517396685,,0.0024641957134008408,,248260.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
300,,,0.98387204,0.05687136368307304,,,30000,0.0003,1787939422.4261825,,6367.230679598,,0.002984195714816451,,254656.0,,x5j56e71,ethereal-sweep-5,d5_full_soft_noPred
